Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=150, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		11315 train individual data points
		595 valid individual data points
		353 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved/model.ckpt-53500
training...
learning rate: 9.99999974738e-05
53510/125000, loss = -2.169, regloss = -0.21841, valid_loss = -1.937, time = 0.275
62570/125000, loss = -2.104, regloss = -2.12264, valid_loss = -1.939, time = 0.267
62580/125000, loss = -2.210, regloss = -2.12544, valid_loss = -1.942, time = 0.392
62590/125000, loss = -2.111, regloss = -2.12452, valid_loss = -1.940, time = 0.267
62600/125000, loss = -2.200, regloss = -2.12211, valid_loss = -1.935, time = 0.266
62610/125000, loss = -2.208, regloss = -2.12528, valid_loss = -1.918, time = 0.395
62620/125000, loss = -2.109, regloss = -2.12357, valid_loss = -1.942, time = 0.276
62630/125000, loss = -2.144, regloss = -2.12398, valid_loss = -1.934, time = 0.404
62640/125000, loss = -2.280, regloss = -2.13055, valid_loss = -1.940, time = 0.268
62650/125000, loss = -2.138, regloss = -2.13070, valid_loss = -1.927, time = 0.267
62660/125000, loss = -2.330, regloss = -2.12697, valid_loss = -1.940, time = 0.395
62670/125000, loss = -1.814, regloss = -2.12301, valid_loss = -1.946, time = 0.267
62680/125000, loss = -2.125, regloss = -2.12488, valid_loss = -1.943, time = 0.397
62690/125000, loss = -2.217, regloss = -2.12569, valid_loss = -1.913, time = 0.266
62700/125000, loss = -2.198, regloss = -2.12443, valid_loss = -1.943, time = 0.269
62710/125000, loss = -2.202, regloss = -2.12628, valid_loss = -1.957, time = 0.392
62720/125000, loss = -2.069, regloss = -2.13252, valid_loss = -1.942, time = 0.272
62730/125000, loss = -2.067, regloss = -2.13525, valid_loss = -1.956, time = 0.407
62740/125000, loss = -2.065, regloss = -2.13949, valid_loss = -1.941, time = 0.276
62750/125000, loss = -2.054, regloss = -2.13792, valid_loss = -1.930, time = 0.267
62760/125000, loss = -2.061, regloss = -2.12762, valid_loss = -1.943, time = 0.395
62770/125000, loss = -2.163, regloss = -2.12452, valid_loss = -1.926, time = 0.266
62780/125000, loss = -2.137, regloss = -2.12358, valid_loss = -1.925, time = 0.266
62790/125000, loss = -2.193, regloss = -2.12408, valid_loss = -1.952, time = 0.267
62800/125000, loss = -2.276, regloss = -2.12705, valid_loss = -1.937, time = 0.268
62810/125000, loss = -2.191, regloss = -2.13098, valid_loss = -1.920, time = 0.471
62820/125000, loss = -2.178, regloss = -2.12917, valid_loss = -1.941, time = 0.392
62830/125000, loss = -2.075, regloss = -2.12634, valid_loss = -1.945, time = 0.267
62840/125000, loss = -2.287, regloss = -2.13034, valid_loss = -1.914, time = 0.266
62850/125000, loss = -2.098, regloss = -2.12713, valid_loss = -1.953, time = 0.398
62860/125000, loss = -2.195, regloss = -2.12684, valid_loss = -1.932, time = 0.277
62870/125000, loss = -2.203, regloss = -2.12890, valid_loss = -1.942, time = 0.394
62880/125000, loss = -2.109, regloss = -2.12612, valid_loss = -1.943, time = 0.268
62890/125000, loss = -2.081, regloss = -2.12323, valid_loss = -1.938, time = 0.267
62900/125000, loss = -2.113, regloss = -2.12554, valid_loss = -1.916, time = 0.393
62910/125000, loss = -2.271, regloss = -2.12719, valid_loss = -1.939, time = 0.266
62920/125000, loss = -2.159, regloss = -2.12638, valid_loss = -1.942, time = 0.393
62930/125000, loss = -2.256, regloss = -2.12415, valid_loss = -1.927, time = 0.267
62940/125000, loss = -2.213, regloss = -2.12134, valid_loss = -1.936, time = 0.266
62950/125000, loss = -1.984, regloss = -2.11806, valid_loss = -1.935, time = 0.396
62960/125000, loss = -2.213, regloss = -2.12368, valid_loss = -1.918, time = 0.267
62970/125000, loss = -2.190, regloss = -2.11962, valid_loss = -1.953, time = 0.391
62980/125000, loss = -2.115, regloss = -2.12178, valid_loss = -1.919, time = 0.267
62990/125000, loss = -2.280, regloss = -2.12653, valid_loss = -1.935, time = 0.266
learning rate: 9.99999974738e-05
SAVED MODEL
63000/125000, loss = -2.178, regloss = -2.12816, valid_loss = -1.943, time = 0.292
63010/125000, loss = -1.920, regloss = -2.12183, valid_loss = -1.934, time = 0.404
63020/125000, loss = -2.158, regloss = -2.12199, valid_loss = -1.910, time = 0.300
63030/125000, loss = -2.179, regloss = -2.12038, valid_loss = -1.946, time = 0.267
63040/125000, loss = -2.124, regloss = -2.11850, valid_loss = -1.939, time = 0.395
63050/125000, loss = -1.966, regloss = -2.11052, valid_loss = -1.927, time = 0.268
63060/125000, loss = -1.927, regloss = -2.10836, valid_loss = -1.949, time = 0.267
63070/125000, loss = -2.166, regloss = -2.10774, valid_loss = -1.940, time = 0.267
63080/125000, loss = -2.266, regloss = -2.11265, valid_loss = -1.923, time = 0.267
63090/125000, loss = -2.269, regloss = -2.11461, valid_loss = -1.949, time = 0.335
63100/125000, loss = -2.202, regloss = -2.11365, valid_loss = -1.952, time = 0.389
63110/125000, loss = -2.081, regloss = -2.11008, valid_loss = -1.931, time = 0.266
63120/125000, loss = -2.238, regloss = -2.11078, valid_loss = -1.925, time = 0.267
63130/125000, loss = -2.191, regloss = -2.10733, valid_loss = -1.926, time = 0.395
63140/125000, loss = -2.119, regloss = -2.10850, valid_loss = -1.938, time = 0.267
63150/125000, loss = -2.082, regloss = -2.11213, valid_loss = -1.943, time = 0.392
63160/125000, loss = -2.051, regloss = -2.11548, valid_loss = -1.942, time = 0.278
63170/125000, loss = -2.254, regloss = -2.11514, valid_loss = -1.935, time = 0.266
63180/125000, loss = -2.070, regloss = -2.11663, valid_loss = -1.956, time = 0.392
63190/125000, loss = -2.102, regloss = -2.11596, valid_loss = -1.939, time = 0.267
63200/125000, loss = -2.122, regloss = -2.11538, valid_loss = -1.896, time = 0.267
63210/125000, loss = -2.075, regloss = -2.12034, valid_loss = -1.957, time = 0.266
63220/125000, loss = -2.184, regloss = -2.12170, valid_loss = -1.939, time = 0.266
63230/125000, loss = -2.036, regloss = -2.11732, valid_loss = -1.951, time = 0.469
63240/125000, loss = -2.056, regloss = -2.11683, valid_loss = -1.930, time = 0.398
63250/125000, loss = -2.236, regloss = -2.12599, valid_loss = -1.944, time = 0.266
63260/125000, loss = -2.198, regloss = -2.12900, valid_loss = -1.944, time = 0.268
63270/125000, loss = -2.067, regloss = -2.12211, valid_loss = -1.917, time = 0.267
63280/125000, loss = -2.072, regloss = -2.12165, valid_loss = -1.941, time = 0.270
63290/125000, loss = -1.961, regloss = -2.11835, valid_loss = -1.948, time = 0.276
63300/125000, loss = -2.140, regloss = -2.11533, valid_loss = -1.958, time = 0.428
63310/125000, loss = -2.215, regloss = -2.11598, valid_loss = -1.930, time = 0.346
63320/125000, loss = -2.222, regloss = -2.12325, valid_loss = -1.935, time = 0.266
63330/125000, loss = -2.087, regloss = -2.12498, valid_loss = -1.938, time = 0.391
63340/125000, loss = -2.179, regloss = -2.12167, valid_loss = -1.937, time = 0.266
63350/125000, loss = -2.145, regloss = -2.11738, valid_loss = -1.918, time = 0.266
63360/125000, loss = -2.186, regloss = -2.12376, valid_loss = -1.954, time = 0.396
63370/125000, loss = -2.185, regloss = -2.12999, valid_loss = -1.946, time = 0.269
63380/125000, loss = -2.175, regloss = -2.13135, valid_loss = -1.931, time = 0.397
63390/125000, loss = -2.103, regloss = -2.13291, valid_loss = -1.941, time = 0.267
63400/125000, loss = -2.203, regloss = -2.13430, valid_loss = -1.935, time = 0.294
63410/125000, loss = -2.154, regloss = -2.13402, valid_loss = -1.917, time = 0.386
63420/125000, loss = -2.078, regloss = -2.13555, valid_loss = -1.930, time = 0.268
63430/125000, loss = -2.093, regloss = -2.13238, valid_loss = -1.942, time = 0.391
63440/125000, loss = -2.070, regloss = -2.13041, valid_loss = -1.928, time = 0.266
63450/125000, loss = -2.070, regloss = -2.12254, valid_loss = -1.929, time = 0.269
63460/125000, loss = -2.088, regloss = -2.12417, valid_loss = -1.919, time = 0.396
63470/125000, loss = -2.072, regloss = -2.12293, valid_loss = -1.930, time = 0.267
63480/125000, loss = -2.220, regloss = -2.12556, valid_loss = -1.939, time = 0.393
63490/125000, loss = -2.247, regloss = -2.12131, valid_loss = -1.959, time = 0.267
learning rate: 9.99999974738e-05
SAVED MODEL
63500/125000, loss = -2.120, regloss = -2.12196, valid_loss = -1.920, time = 0.289
63510/125000, loss = -1.970, regloss = -2.12475, valid_loss = -1.948, time = 0.266
63520/125000, loss = -2.309, regloss = -2.12274, valid_loss = -1.932, time = 0.439
63530/125000, loss = -2.098, regloss = -2.12204, valid_loss = -1.937, time = 0.375
63540/125000, loss = -2.084, regloss = -2.12130, valid_loss = -1.946, time = 0.278
63550/125000, loss = -2.147, regloss = -2.12830, valid_loss = -1.935, time = 0.392
63560/125000, loss = -2.131, regloss = -2.12723, valid_loss = -1.915, time = 0.273
63570/125000, loss = -2.289, regloss = -2.13104, valid_loss = -1.926, time = 0.266
63580/125000, loss = -2.322, regloss = -2.13367, valid_loss = -1.931, time = 0.395
63590/125000, loss = -2.089, regloss = -2.13040, valid_loss = -1.933, time = 0.268
63600/125000, loss = -2.014, regloss = -2.13154, valid_loss = -1.947, time = 0.400
63610/125000, loss = -2.162, regloss = -2.13236, valid_loss = -1.932, time = 0.266
63620/125000, loss = -2.052, regloss = -2.12894, valid_loss = -1.915, time = 0.266
63630/125000, loss = -2.117, regloss = -2.12743, valid_loss = -1.942, time = 0.391
63640/125000, loss = -2.047, regloss = -2.12586, valid_loss = -1.936, time = 0.267
63650/125000, loss = -2.286, regloss = -2.12749, valid_loss = -1.901, time = 0.396
63660/125000, loss = -2.210, regloss = -2.12909, valid_loss = -1.946, time = 0.266
63670/125000, loss = -2.056, regloss = -2.12868, valid_loss = -1.954, time = 0.267
63680/125000, loss = -2.141, regloss = -2.12575, valid_loss = -1.928, time = 0.396
63690/125000, loss = -2.077, regloss = -2.12436, valid_loss = -1.932, time = 0.275
63700/125000, loss = -2.221, regloss = -2.12438, valid_loss = -1.936, time = 0.391
63710/125000, loss = -2.166, regloss = -2.12496, valid_loss = -1.912, time = 0.266
63720/125000, loss = -1.921, regloss = -2.12459, valid_loss = -1.944, time = 0.266
63730/125000, loss = -2.097, regloss = -2.12492, valid_loss = -1.948, time = 0.395
63740/125000, loss = -2.107, regloss = -2.12425, valid_loss = -1.938, time = 0.267
63750/125000, loss = -1.933, regloss = -2.11889, valid_loss = -1.945, time = 0.393
63760/125000, loss = -2.046, regloss = -2.12161, valid_loss = -1.941, time = 0.265
63770/125000, loss = -2.113, regloss = -2.11842, valid_loss = -1.933, time = 0.267
63780/125000, loss = -2.129, regloss = -2.11383, valid_loss = -1.975, time = 0.397
63790/125000, loss = -2.254, regloss = -2.11959, valid_loss = -1.928, time = 0.267
63800/125000, loss = -2.305, regloss = -2.12556, valid_loss = -1.926, time = 0.396
63810/125000, loss = -1.875, regloss = -2.11927, valid_loss = -1.957, time = 0.267
63820/125000, loss = -2.028, regloss = -2.11866, valid_loss = -1.948, time = 0.268
63830/125000, loss = -2.028, regloss = -2.12005, valid_loss = -1.919, time = 0.393
63840/125000, loss = -2.125, regloss = -2.12107, valid_loss = -1.947, time = 0.268
63850/125000, loss = -2.072, regloss = -2.11432, valid_loss = -1.934, time = 0.391
63860/125000, loss = -2.123, regloss = -2.11342, valid_loss = -1.930, time = 0.267
63870/125000, loss = -2.042, regloss = -2.11212, valid_loss = -1.924, time = 0.267
63880/125000, loss = -2.207, regloss = -2.11453, valid_loss = -1.940, time = 0.397
63890/125000, loss = -2.104, regloss = -2.11927, valid_loss = -1.922, time = 0.276
63900/125000, loss = -2.102, regloss = -2.11696, valid_loss = -1.966, time = 0.393
63910/125000, loss = -1.938, regloss = -2.11398, valid_loss = -1.924, time = 0.267
63920/125000, loss = -2.025, regloss = -2.11650, valid_loss = -1.899, time = 0.266
63930/125000, loss = -2.156, regloss = -2.11829, valid_loss = -1.914, time = 0.393
63940/125000, loss = -2.211, regloss = -2.11975, valid_loss = -1.934, time = 0.266
63950/125000, loss = -2.100, regloss = -2.11866, valid_loss = -1.932, time = 0.399
63960/125000, loss = -2.279, regloss = -2.11829, valid_loss = -1.946, time = 0.267
63970/125000, loss = -2.176, regloss = -2.12120, valid_loss = -1.938, time = 0.276
63980/125000, loss = -2.169, regloss = -2.12355, valid_loss = -1.930, time = 0.391
63990/125000, loss = -2.029, regloss = -2.12686, valid_loss = -1.954, time = 0.267
learning rate: 9.99999974738e-05
SAVED MODEL
64000/125000, loss = -1.976, regloss = -2.12132, valid_loss = -1.962, time = 0.295
64010/125000, loss = -2.176, regloss = -2.12362, valid_loss = -1.931, time = 0.275
64020/125000, loss = -2.117, regloss = -2.12322, valid_loss = -1.960, time = 0.267
64030/125000, loss = -2.113, regloss = -2.12699, valid_loss = -1.943, time = 0.287
64040/125000, loss = -1.979, regloss = -2.12857, valid_loss = -1.926, time = 0.396
64050/125000, loss = -2.138, regloss = -2.11896, valid_loss = -1.941, time = 0.278
64060/125000, loss = -2.221, regloss = -2.12328, valid_loss = -1.952, time = 0.267
64070/125000, loss = -1.995, regloss = -2.12455, valid_loss = -1.930, time = 0.397
64080/125000, loss = -2.148, regloss = -2.12163, valid_loss = -1.946, time = 0.267
64090/125000, loss = -2.096, regloss = -2.12310, valid_loss = -1.943, time = 0.391
64100/125000, loss = -2.163, regloss = -2.12743, valid_loss = -1.930, time = 0.289
64110/125000, loss = -2.163, regloss = -2.13114, valid_loss = -1.943, time = 0.266
64120/125000, loss = -2.351, regloss = -2.13343, valid_loss = -1.934, time = 0.395
64130/125000, loss = -2.107, regloss = -2.13330, valid_loss = -1.946, time = 0.267
64140/125000, loss = -1.957, regloss = -2.13127, valid_loss = -1.941, time = 0.392
64150/125000, loss = -2.251, regloss = -2.13268, valid_loss = -1.949, time = 0.278
64160/125000, loss = -2.255, regloss = -2.13334, valid_loss = -1.904, time = 0.267
64170/125000, loss = -2.166, regloss = -2.13341, valid_loss = -1.944, time = 0.394
64180/125000, loss = -2.073, regloss = -2.12955, valid_loss = -1.924, time = 0.269
64190/125000, loss = -2.154, regloss = -2.12911, valid_loss = -1.923, time = 0.403
64200/125000, loss = -2.039, regloss = -2.12964, valid_loss = -1.937, time = 0.283
64210/125000, loss = -2.383, regloss = -2.12968, valid_loss = -1.942, time = 0.267
64220/125000, loss = -2.086, regloss = -2.12887, valid_loss = -1.931, time = 0.395
64230/125000, loss = -2.068, regloss = -2.12737, valid_loss = -1.940, time = 0.267
64240/125000, loss = -2.204, regloss = -2.13206, valid_loss = -1.949, time = 0.392
64250/125000, loss = -2.161, regloss = -2.13227, valid_loss = -1.918, time = 0.283
64260/125000, loss = -1.930, regloss = -2.12939, valid_loss = -1.940, time = 0.275
64270/125000, loss = -2.263, regloss = -2.13012, valid_loss = -1.936, time = 0.391
64280/125000, loss = -2.261, regloss = -2.13847, valid_loss = -1.925, time = 0.268
64290/125000, loss = -2.094, regloss = -2.13620, valid_loss = -1.953, time = 0.393
64300/125000, loss = -2.058, regloss = -2.13712, valid_loss = -1.946, time = 0.280
64310/125000, loss = -2.352, regloss = -2.13837, valid_loss = -1.916, time = 0.266
64320/125000, loss = -2.168, regloss = -2.13745, valid_loss = -1.925, time = 0.405
64330/125000, loss = -2.165, regloss = -2.13458, valid_loss = -1.944, time = 0.266
64340/125000, loss = -2.092, regloss = -2.13453, valid_loss = -1.948, time = 0.399
64350/125000, loss = -2.068, regloss = -2.12761, valid_loss = -1.932, time = 0.280
64360/125000, loss = -2.160, regloss = -2.12790, valid_loss = -1.935, time = 0.266
64370/125000, loss = -2.110, regloss = -2.12562, valid_loss = -1.932, time = 0.392
64380/125000, loss = -2.166, regloss = -2.11867, valid_loss = -1.952, time = 0.270
64390/125000, loss = -1.904, regloss = -2.11708, valid_loss = -1.944, time = 0.267
64400/125000, loss = -2.075, regloss = -2.11478, valid_loss = -1.936, time = 0.267
64410/125000, loss = -1.966, regloss = -2.11923, valid_loss = -1.950, time = 0.267
64420/125000, loss = -2.265, regloss = -2.11943, valid_loss = -1.943, time = 0.446
64430/125000, loss = -2.071, regloss = -2.12148, valid_loss = -1.909, time = 0.394
64440/125000, loss = -2.177, regloss = -2.11831, valid_loss = -1.944, time = 0.267
64450/125000, loss = -2.239, regloss = -2.11710, valid_loss = -1.915, time = 0.267
64460/125000, loss = -2.241, regloss = -2.11846, valid_loss = -1.926, time = 0.395
64470/125000, loss = -2.267, regloss = -2.12487, valid_loss = -1.952, time = 0.265
64480/125000, loss = -1.976, regloss = -2.13093, valid_loss = -1.943, time = 0.395
64490/125000, loss = -2.281, regloss = -2.13312, valid_loss = -1.936, time = 0.266
learning rate: 9.99999974738e-05
SAVED MODEL
64500/125000, loss = -2.288, regloss = -2.13020, valid_loss = -1.962, time = 0.286
64510/125000, loss = -2.125, regloss = -2.13348, valid_loss = -1.938, time = 0.400
64520/125000, loss = -2.282, regloss = -2.13133, valid_loss = -1.926, time = 0.267
64530/125000, loss = -2.135, regloss = -2.12936, valid_loss = -1.956, time = 0.267
64540/125000, loss = -2.110, regloss = -2.12537, valid_loss = -1.947, time = 0.406
64550/125000, loss = -2.186, regloss = -2.12601, valid_loss = -1.925, time = 0.267
64560/125000, loss = -2.202, regloss = -2.12607, valid_loss = -1.950, time = 0.394
64570/125000, loss = -2.185, regloss = -2.12292, valid_loss = -1.947, time = 0.267
64580/125000, loss = -2.287, regloss = -2.12360, valid_loss = -1.918, time = 0.266
64590/125000, loss = -2.051, regloss = -2.12232, valid_loss = -1.937, time = 0.391
64600/125000, loss = -2.044, regloss = -2.12212, valid_loss = -1.930, time = 0.266
64610/125000, loss = -2.196, regloss = -2.11997, valid_loss = -1.942, time = 0.393
64620/125000, loss = -2.129, regloss = -2.12244, valid_loss = -1.938, time = 0.266
64630/125000, loss = -2.111, regloss = -2.12241, valid_loss = -1.937, time = 0.276
64640/125000, loss = -2.195, regloss = -2.12534, valid_loss = -1.935, time = 0.409
64650/125000, loss = -2.101, regloss = -2.12862, valid_loss = -1.959, time = 0.266
64660/125000, loss = -2.028, regloss = -2.12598, valid_loss = -1.933, time = 0.392
64670/125000, loss = -2.069, regloss = -2.12831, valid_loss = -1.929, time = 0.273
64680/125000, loss = -2.062, regloss = -2.12152, valid_loss = -1.946, time = 0.267
64690/125000, loss = -2.136, regloss = -2.12167, valid_loss = -1.934, time = 0.390
64700/125000, loss = -2.270, regloss = -2.12315, valid_loss = -1.933, time = 0.268
64710/125000, loss = -2.169, regloss = -2.12063, valid_loss = -1.945, time = 0.402
64720/125000, loss = -2.121, regloss = -2.12020, valid_loss = -1.962, time = 0.267
64730/125000, loss = -2.221, regloss = -2.11940, valid_loss = -1.919, time = 0.267
64740/125000, loss = -1.977, regloss = -2.12190, valid_loss = -1.944, time = 0.267
64750/125000, loss = -2.032, regloss = -2.12333, valid_loss = -1.950, time = 0.267
64760/125000, loss = -2.086, regloss = -2.11912, valid_loss = -1.941, time = 0.267
64770/125000, loss = -2.213, regloss = -2.12352, valid_loss = -1.964, time = 0.470
64780/125000, loss = -2.151, regloss = -2.12045, valid_loss = -1.945, time = 0.397
64790/125000, loss = -2.063, regloss = -2.11919, valid_loss = -1.944, time = 0.268
64800/125000, loss = -1.950, regloss = -2.11574, valid_loss = -1.928, time = 0.392
64810/125000, loss = -2.142, regloss = -2.11718, valid_loss = -1.941, time = 0.267
64820/125000, loss = -2.088, regloss = -2.12110, valid_loss = -1.923, time = 0.267
64830/125000, loss = -2.405, regloss = -2.12664, valid_loss = -1.947, time = 0.395
64840/125000, loss = -2.214, regloss = -2.13111, valid_loss = -1.947, time = 0.267
64850/125000, loss = -2.102, regloss = -2.13412, valid_loss = -1.937, time = 0.401
64860/125000, loss = -2.046, regloss = -2.13581, valid_loss = -1.945, time = 0.267
64870/125000, loss = -2.259, regloss = -2.13549, valid_loss = -1.941, time = 0.277
64880/125000, loss = -2.224, regloss = -2.13566, valid_loss = -1.936, time = 0.395
64890/125000, loss = -2.025, regloss = -2.13249, valid_loss = -1.954, time = 0.267
64900/125000, loss = -2.098, regloss = -2.13008, valid_loss = -1.940, time = 0.392
64910/125000, loss = -2.195, regloss = -2.13137, valid_loss = -1.920, time = 0.267
64920/125000, loss = -2.262, regloss = -2.13321, valid_loss = -1.930, time = 0.267
64930/125000, loss = -1.987, regloss = -2.12868, valid_loss = -1.937, time = 0.392
64940/125000, loss = -2.203, regloss = -2.13189, valid_loss = -1.922, time = 0.267
64950/125000, loss = -2.245, regloss = -2.13177, valid_loss = -1.948, time = 0.395
64960/125000, loss = -2.142, regloss = -2.12982, valid_loss = -1.951, time = 0.267
64970/125000, loss = -2.032, regloss = -2.12790, valid_loss = -1.935, time = 0.266
64980/125000, loss = -2.144, regloss = -2.13018, valid_loss = -1.947, time = 0.396
64990/125000, loss = -2.092, regloss = -2.13240, valid_loss = -1.963, time = 0.276
learning rate: 9.99999974738e-05
SAVED MODEL
65000/125000, loss = -2.128, regloss = -2.13183, valid_loss = -1.931, time = 0.296
65010/125000, loss = -2.134, regloss = -2.12966, valid_loss = -1.942, time = 0.266
65020/125000, loss = -2.179, regloss = -2.13029, valid_loss = -1.936, time = 0.266
65030/125000, loss = -2.081, regloss = -2.12446, valid_loss = -1.930, time = 0.348
65040/125000, loss = -2.241, regloss = -2.12286, valid_loss = -1.948, time = 0.390
65050/125000, loss = -2.258, regloss = -2.11968, valid_loss = -1.955, time = 0.267
65060/125000, loss = -1.861, regloss = -2.11004, valid_loss = -1.929, time = 0.267
65070/125000, loss = -2.012, regloss = -2.11578, valid_loss = -1.958, time = 0.393
65080/125000, loss = -1.961, regloss = -2.11272, valid_loss = -1.944, time = 0.266
65090/125000, loss = -2.224, regloss = -2.11852, valid_loss = -1.926, time = 0.393
65100/125000, loss = -2.073, regloss = -2.12036, valid_loss = -1.930, time = 0.282
65110/125000, loss = -2.005, regloss = -2.12443, valid_loss = -1.944, time = 0.267
65120/125000, loss = -2.098, regloss = -2.12391, valid_loss = -1.930, time = 0.407
65130/125000, loss = -1.980, regloss = -2.12171, valid_loss = -1.943, time = 0.270
65140/125000, loss = -2.023, regloss = -2.11679, valid_loss = -1.944, time = 0.395
65150/125000, loss = -2.093, regloss = -2.11656, valid_loss = -1.936, time = 0.267
65160/125000, loss = -2.015, regloss = -2.11540, valid_loss = -1.932, time = 0.276
65170/125000, loss = -2.154, regloss = -2.11728, valid_loss = -1.926, time = 0.266
65180/125000, loss = -2.328, regloss = -2.11677, valid_loss = -1.931, time = 0.267
65190/125000, loss = -2.114, regloss = -2.11425, valid_loss = -1.944, time = 0.266
65200/125000, loss = -2.133, regloss = -2.12223, valid_loss = -1.940, time = 0.471
65210/125000, loss = -2.273, regloss = -2.12332, valid_loss = -1.917, time = 0.394
65220/125000, loss = -2.178, regloss = -2.12702, valid_loss = -1.926, time = 0.266
65230/125000, loss = -2.024, regloss = -2.12092, valid_loss = -1.924, time = 0.399
65240/125000, loss = -1.949, regloss = -2.12248, valid_loss = -1.912, time = 0.267
65250/125000, loss = -2.036, regloss = -2.12000, valid_loss = -1.934, time = 0.266
65260/125000, loss = -2.123, regloss = -2.12367, valid_loss = -1.940, time = 0.394
65270/125000, loss = -2.010, regloss = -2.11741, valid_loss = -1.944, time = 0.267
65280/125000, loss = -2.061, regloss = -2.12201, valid_loss = -1.948, time = 0.396
65290/125000, loss = -2.189, regloss = -2.12617, valid_loss = -1.940, time = 0.266
65300/125000, loss = -2.162, regloss = -2.12768, valid_loss = -1.928, time = 0.275
65310/125000, loss = -1.952, regloss = -2.12483, valid_loss = -1.939, time = 0.395
65320/125000, loss = -1.962, regloss = -2.12080, valid_loss = -1.952, time = 0.268
65330/125000, loss = -2.028, regloss = -2.11934, valid_loss = -1.939, time = 0.395
65340/125000, loss = -2.063, regloss = -2.12314, valid_loss = -1.914, time = 0.269
65350/125000, loss = -2.133, regloss = -2.12312, valid_loss = -1.906, time = 0.267
65360/125000, loss = -2.187, regloss = -2.12044, valid_loss = -1.909, time = 0.395
65370/125000, loss = -2.025, regloss = -2.11874, valid_loss = -1.930, time = 0.268
65380/125000, loss = -1.982, regloss = -2.11108, valid_loss = -1.935, time = 0.390
65390/125000, loss = -2.074, regloss = -2.10759, valid_loss = -1.922, time = 0.267
65400/125000, loss = -1.871, regloss = -2.10857, valid_loss = -1.945, time = 0.266
65410/125000, loss = -1.945, regloss = -2.11379, valid_loss = -1.972, time = 0.401
65420/125000, loss = -2.245, regloss = -2.11580, valid_loss = -1.934, time = 0.276
65430/125000, loss = -2.292, regloss = -2.12178, valid_loss = -1.936, time = 0.392
65440/125000, loss = -2.263, regloss = -2.12308, valid_loss = -1.919, time = 0.267
65450/125000, loss = -2.246, regloss = -2.12570, valid_loss = -1.924, time = 0.266
65460/125000, loss = -2.201, regloss = -2.12702, valid_loss = -1.949, time = 0.399
65470/125000, loss = -2.113, regloss = -2.12804, valid_loss = -1.943, time = 0.267
65480/125000, loss = -1.985, regloss = -2.12637, valid_loss = -1.926, time = 0.402
65490/125000, loss = -2.163, regloss = -2.13088, valid_loss = -1.960, time = 0.267
learning rate: 9.99999974738e-05
SAVED MODEL
65500/125000, loss = -2.084, regloss = -2.12705, valid_loss = -1.924, time = 0.291
65510/125000, loss = -2.022, regloss = -2.12500, valid_loss = -1.937, time = 0.393
65520/125000, loss = -1.948, regloss = -2.12433, valid_loss = -1.947, time = 0.267
65530/125000, loss = -2.110, regloss = -2.12550, valid_loss = -1.957, time = 0.267
65540/125000, loss = -2.124, regloss = -2.12414, valid_loss = -1.934, time = 0.394
65550/125000, loss = -2.083, regloss = -2.12715, valid_loss = -1.945, time = 0.267
65560/125000, loss = -2.091, regloss = -2.12643, valid_loss = -1.950, time = 0.391
65570/125000, loss = -2.228, regloss = -2.12285, valid_loss = -1.935, time = 0.267
65580/125000, loss = -2.231, regloss = -2.13046, valid_loss = -1.947, time = 0.267
65590/125000, loss = -1.958, regloss = -2.12801, valid_loss = -1.938, time = 0.405
65600/125000, loss = -2.028, regloss = -2.12958, valid_loss = -1.911, time = 0.275
65610/125000, loss = -2.212, regloss = -2.13068, valid_loss = -1.947, time = 0.399
65620/125000, loss = -2.141, regloss = -2.12813, valid_loss = -1.957, time = 0.267
65630/125000, loss = -2.070, regloss = -2.13070, valid_loss = -1.935, time = 0.267
65640/125000, loss = -2.215, regloss = -2.13071, valid_loss = -1.939, time = 0.393
65650/125000, loss = -2.130, regloss = -2.13013, valid_loss = -1.947, time = 0.266
65660/125000, loss = -2.153, regloss = -2.12707, valid_loss = -1.961, time = 0.394
65670/125000, loss = -1.836, regloss = -2.12650, valid_loss = -1.946, time = 0.266
65680/125000, loss = -2.041, regloss = -2.13140, valid_loss = -1.919, time = 0.268
65690/125000, loss = -2.244, regloss = -2.13784, valid_loss = -1.922, time = 0.394
65700/125000, loss = -1.995, regloss = -2.13895, valid_loss = -1.943, time = 0.268
65710/125000, loss = -2.071, regloss = -2.13823, valid_loss = -1.939, time = 0.395
65720/125000, loss = -1.932, regloss = -2.13304, valid_loss = -1.927, time = 0.280
65730/125000, loss = -2.124, regloss = -2.13342, valid_loss = -1.948, time = 0.269
65740/125000, loss = -2.101, regloss = -2.13209, valid_loss = -1.936, time = 0.396
